title,artist
Fast Car,Luke Combs
Last Night,Morgan Wallen
Need A Favor,Jelly Roll
We Don't Fight Anymore (feat. Chris Stapleton),Carly Pearce
Save Me (with Lainey Wilson),Jelly Roll
Flowers,Miley Cyrus
Calm Down,Rema & Selena Gomez
Thinkin’ Bout Me,Morgan Wallen
All My Life (feat. J. Cole),Lil Durk
Attention,Doja Cat
Son Of A Sinner,Jelly Roll
"Angel Pt. 2 (feat. JVKE, Charlie Puth & Muni Long)",Jimin & Fast & Furious: The Fast Saga
Dance The Night,Dua Lipa
Cruel Summer,Taylor Swift
Stand By Me (feat. Morgan Wallen),Lil Durk
Reclaim The Rainbow (feat. Jimmy Levy),Bryson Gray & Shemeka Michelle
Thank God I Do,Lauren Daigle
Appetite,Elijah Connor
MMMBop 2.0,Busted & Hanson
Next Thing You Know,Jordan Davis
What Are We Waiting For?,for KING & COUNTRY
Love You Anyway,Luke Combs
Dancin’ In The Country,Tyler Hubbard
Meteor Shower,Niang Long
Religiously,Bailey Zimmerman
Watermelon Moonshine,Lainey Wilson
Karma,Taylor Swift
Favorite Song,Toosii
Bury Me in Georgia (Single Edit),Kane Brown
Anti-Hero,Taylor Swift
Heart Like A Truck,Lainey Wilson
Eyes Closed,Ed Sheeran
Something in the Orange (Z&E's Version),Zach Bryan
Mourning,Post Malone
BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ
Fast Car,Tracy Chapman
Thank God,Kane Brown & Katelyn Brown
Lemon,SMITH
Thought You Should Know,Morgan Wallen
Put It On Da Floor Again (feat. Cardi B),Latto
Drunken Moon,Niang Long
"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
TRUSTFALL,P!nk
Take Two,BTS
Tennessee Orange,Megan Moroney
Can She Have This Dance,Drew Baldridge
Chemical,Post Malone
A Little Bit Happy,TALK
One Thing At A Time,Morgan Wallen
Makeba,Jain
Wasted On You,Morgan Wallen
Tennessee Whiskey,Chris Stapleton
Rock and A Hard Place,Bailey Zimmerman
Reminiscing,Little River Band
Daylight,David Kushner
wait in the truck,HARDY & Lainey Wilson
Sure Thing,Miguel
Thicc As Thieves,Lauren Alaina & Lainey Wilson
TRUCK BED,HARDY
Oklahoma Smokeshow,Zach Bryan
Peaches,Jack Black
SCIENTISTS & ENGINEERS (feat. Future & Eryn Allen Kane),Killer Mike & André 3000
Save Me,Jelly Roll
Ella Baila Sola,Eslabon Armado & Peso Pluma
Unstoppable,Sia
Drinkaby,Cole Swindell
Try That In A Small Town,Jason Aldean
Cupid (Twin Ver.),FIFTY FIFTY
Waffle House,Jonas Brothers
One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
You Proof,Morgan Wallen
Whiskey Glasses,Morgan Wallen
Hold My Hand,Lady Gaga
I Ain't Worried,OneRepublic
Memory Lane,Old Dominion
Don't Say Love,Leigh-Anne
Where the Fun Niggas At?,Asian Doll
It Matters To Her,Scotty McCreery
She Had Me At Heads Carolina,Cole Swindell
Halfway To Hell,Jelly Roll
Area Codes,Kali
But I Got A Beer In My Hand,Luke Bryan
Yankee 150,"Yandel, Feid & Daddy Yankee"
Chasin' You,Morgan Wallen
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
Love Story (Taylor’s Version),Taylor Swift
"You, Me, And Whiskey",Justin Moore & Priscilla Block
You Need To Calm Down,Taylor Swift
Last Shot,Wesley Green
Magic Man (feat. Ann Wilson) [Carl Version],Dolly Parton
Lover,Taylor Swift
Kill Bill,SZA
Jaded,Miley Cyrus
Thunderstruck,AC/DC
As It Was,Harry Styles
Snooze,SZA
Your Heart Or Mine,Jon Pardi
Hope,Niang Long
Last Night,Morgan Wallen
Standing Room Only,Tim McGraw
